#AssemblyAccession	AssemblyName	Organism	AssemblyStatus	BioprojectAccession	BioSample	ContigN50	ScaffoldN50	FtpPath
GCF_029167105.1	ASM2916710v1	Bradyrhizobium yuanmingense (a-proteobacteria)	Contig	PRJNA224116	SAMN33588592	212202	212202	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/167/105/GCF_029167105.1_ASM2916710v1
GCF_029167075.1	ASM2916707v1	Bradyrhizobium yuanmingense (a-proteobacteria)	Contig	PRJNA224116	SAMN33588593	402169	402169	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/167/075/GCF_029167075.1_ASM2916707v1
GCF_029167055.1	ASM2916705v1	Bradyrhizobium yuanmingense (a-proteobacteria)	Contig	PRJNA224116	SAMN33588594	1691678	1691678	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/167/055/GCF_029167055.1_ASM2916705v1
GCF_029051725.1	ASM2905172v1	Bradyrhizobium sp. CSS354 (a-proteobacteria)	Contig	PRJNA224116	SAMN13876265	413411	413411	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/051/725/GCF_029051725.1_ASM2905172v1
GCF_029051685.1	ASM2905168v1	Bradyrhizobium sp. CSA207 (a-proteobacteria)	Contig	PRJNA224116	SAMN13876259	180717	180717	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/051/685/GCF_029051685.1_ASM2905168v1
GCF_029051645.1	ASM2905164v1	Bradyrhizobium sp. CSA112 (a-proteobacteria)	Contig	PRJNA224116	SAMN13874343	191868	191868	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/051/645/GCF_029051645.1_ASM2905164v1
GCF_028680385.1	ASM2868038v1	Bradyrhizobium sp. WBOS16 (a-proteobacteria)	Contig	PRJNA224116	SAMN08735533	216592	216592	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/680/385/GCF_028680385.1_ASM2868038v1
GCF_028680355.1	ASM2868035v1	Bradyrhizobium sp. WBOS8 (a-proteobacteria)	Contig	PRJNA224116	SAMN08735091	200612	200612	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/680/355/GCF_028680355.1_ASM2868035v1
GCF_028680315.1	ASM2868031v1	Bradyrhizobium sp. WBOS7 (a-proteobacteria)	Contig	PRJNA224116	SAMN08734697	304445	304445	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/680/315/GCF_028680315.1_ASM2868031v1
GCF_028680285.1	ASM2868028v1	Bradyrhizobium sp. WBOS4 (a-proteobacteria)	Contig	PRJNA224116	SAMN08734214	201674	201674	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/680/285/GCF_028680285.1_ASM2868028v1
GCF_028680245.1	ASM2868024v1	Bradyrhizobium sp. WBOS2 (a-proteobacteria)	Contig	PRJNA224116	SAMN08733873	316802	316802	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/680/245/GCF_028680245.1_ASM2868024v1
GCF_028680255.1	ASM2868025v1	Bradyrhizobium sp. WBAH33 (a-proteobacteria)	Contig	PRJNA224116	SAMN08731688	293232	293232	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/680/255/GCF_028680255.1_ASM2868025v1
GCF_028680235.1	ASM2868023v1	Bradyrhizobium sp. WBOS1 (a-proteobacteria)	Contig	PRJNA224116	SAMN08732955	299378	299378	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/680/235/GCF_028680235.1_ASM2868023v1
GCF_028680215.1	ASM2868021v1	Bradyrhizobium sp. WBAH42 (a-proteobacteria)	Contig	PRJNA224116	SAMN08732095	215249	215249	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/680/215/GCF_028680215.1_ASM2868021v1
GCF_028680185.1	ASM2868018v1	Bradyrhizobium sp. WBAH41 (a-proteobacteria)	Contig	PRJNA224116	SAMN08731923	279140	279140	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/680/185/GCF_028680185.1_ASM2868018v1
GCF_028680175.1	ASM2868017v1	Bradyrhizobium sp. WBAH30 (a-proteobacteria)	Contig	PRJNA224116	SAMN08731656	274817	274817	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/680/175/GCF_028680175.1_ASM2868017v1
GCF_028680155.1	ASM2868015v1	Bradyrhizobium sp. WBAH23 (a-proteobacteria)	Contig	PRJNA224116	SAMN08731629	311379	311379	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/680/155/GCF_028680155.1_ASM2868015v1
GCF_028561325.1	ASM2856132v1	Bradyrhizobium diazoefficiens (a-proteobacteria)	Contig	PRJNA224116	SAMN13632398	5025083	5025083	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/561/325/GCF_028561325.1_ASM2856132v1
GCF_028129015.1	ASM2812901v1	Bradyrhizobium sp. CCBAU 21362 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459153	297243	352379	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/129/015/GCF_028129015.1_ASM2812901v1
GCF_028128975.1	ASM2812897v1	Bradyrhizobium sp. CCBAU 45321 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459133	365895	365895	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/975/GCF_028128975.1_ASM2812897v1
GCF_028128955.1	ASM2812895v1	Bradyrhizobium sp. CCBAU 11386 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459163	99551	103552	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/955/GCF_028128955.1_ASM2812895v1
GCF_028128965.1	ASM2812896v1	Bradyrhizobium sp. CCBAU 25338 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459134	532866	532866	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/965/GCF_028128965.1_ASM2812896v1
GCF_028128935.1	ASM2812893v1	Bradyrhizobium sp. CCBAU 11361 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459162	151524	163918	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/935/GCF_028128935.1_ASM2812893v1
GCF_028128895.1	ASM2812889v1	Bradyrhizobium sp. CCBAU 11434 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459160	307264	350154	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/895/GCF_028128895.1_ASM2812889v1
GCF_028128915.1	ASM2812891v1	Bradyrhizobium sp. CCBAU 11445 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459161	285989	292500	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/915/GCF_028128915.1_ASM2812891v1
GCF_028128865.1	ASM2812886v1	Bradyrhizobium sp. CCBAU 11357 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459159	261523	261523	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/865/GCF_028128865.1_ASM2812886v1
GCF_028128855.1	ASM2812885v1	Bradyrhizobium sp. CCBAU 11430 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459158	238443	240354	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/855/GCF_028128855.1_ASM2812885v1
GCF_028128815.1	ASM2812881v1	Bradyrhizobium sp. CCBAU 21360 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459155	258691	258691	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/815/GCF_028128815.1_ASM2812881v1
GCF_028128835.1	ASM2812883v1	Bradyrhizobium sp. CCBAU 65884 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459157	176538	176538	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/835/GCF_028128835.1_ASM2812883v1
GCF_028128795.1	ASM2812879v1	Bradyrhizobium sp. CCBAU 21359 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459154	87055	192173	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/795/GCF_028128795.1_ASM2812879v1
GCF_028128755.1	ASM2812875v1	Bradyrhizobium sp. CCBAU 53380 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459150	168710	174028	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/755/GCF_028128755.1_ASM2812875v1
GCF_028128765.1	ASM2812876v1	Bradyrhizobium sp. CCBAU 51627 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459141	234052	234052	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/765/GCF_028128765.1_ASM2812876v1
GCF_028128735.1	ASM2812873v1	Bradyrhizobium sp. CCBAU 53415 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459140	634085	879149	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/735/GCF_028128735.1_ASM2812873v1
GCF_028128715.1	ASM2812871v1	Bradyrhizobium sp. CCBAU 51745 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459151	251877	277491	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/715/GCF_028128715.1_ASM2812871v1
GCF_028128695.1	ASM2812869v1	Bradyrhizobium sp. CCBAU 25360 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459132	542799	633781	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/695/GCF_028128695.1_ASM2812869v1
GCF_028128655.1	ASM2812865v1	Bradyrhizobium sp. CCBAU 45394 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459129	398109	398109	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/655/GCF_028128655.1_ASM2812865v1
GCF_028128665.1	ASM2812866v1	Bradyrhizobium sp. CCBAU 45384 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459131	273355	273355	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/665/GCF_028128665.1_ASM2812866v1
GCF_028128625.1	ASM2812862v1	Bradyrhizobium sp. CCBAU 45389 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN03459130	289754	324351	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/128/625/GCF_028128625.1_ASM2812862v1
GCF_027594865.1	ASM2759486v1	Bradyrhizobium sp. 14AB (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN16869375	8276659	8276659	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/594/865/GCF_027594865.1_ASM2759486v1
GCF_025961675.1	ASM2596167v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058296	9473387	9473387	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/961/675/GCF_025961675.1_ASM2596167v1
GCF_025961655.1	ASM2596165v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058229	9531140	9531140	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/961/655/GCF_025961655.1_ASM2596165v1
GCF_025961635.1	ASM2596163v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN28058274	9629130	9629130	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/961/635/GCF_025961635.1_ASM2596163v1
GCF_025961545.1	ASM2596154v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN28058264	10943673	10943673	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/961/545/GCF_025961545.1_ASM2596154v1
GCF_025961175.1	ASM2596117v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058322	9358810	9358810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/961/175/GCF_025961175.1_ASM2596117v1
